student_id,age_band,entry_route,prior_gpa,first_generation,financial_support,distance_km,week4_attendance_rate,week4_lms_logins,assignment1_score,support_sessions_week4,final_attendance_rate,final_exam_score,credits_completed,academic_success
S10290,18-20,Transfer,2.6,0,1,14.1,0.726,15,64.2,0,0.807,75.0,52,1
S10291,25+,Transfer,1.93,0,0,9.5,0.867,24,48.9,1,0.839,42.4,13,0
S10292,18-20,Direct,2.58,0,0,12.1,0.746,23,76.4,0,0.682,40.3,22,0
S10293,25+,Transfer,2.16,0,0,16.9,0.575,15,48.7,3,0.667,80.8,54,1
S10294,18-20,Direct,3.48,0,0,19.1,0.892,24,74.3,0,0.996,94.1,56,1
S10295,25+,Direct,1.98,0,0,5.1,0.631,16,58.8,1,0.485,43.8,23,0
S10296,18-20,Transfer,2.15,0,0,10.0,0.704,24,73.9,0,0.706,45.1,13,0
S10297,18-20,Direct,3.37,0,0,10.4,0.874,24,78.3,2,0.911,99.4,50,1
S10298,18-20,Access,3.26,0,1,24.2,0.563,10,31.4,1,0.516,44.1,29,0
S10299,18-20,Direct,3.46,0,0,54.5,1.0,21,100.0,0,1.0,79.7,55,1
S10300,18-20,Direct,3.19,0,0,7.3,0.739,21,64.5,1,0.754,73.3,47,1
S10301,18-20,Transfer,2.53,0,1,9.7,0.679,9,62.4,0,0.634,53.1,19,0
S10302,25+,Direct,2.53,0,0,4.2,0.793,26,82.9,1,0.719,38.2,12,0
S10303,18-20,Direct,3.21,1,1,22.9,0.744,13,52.6,1,0.667,60.1,11,0
S10304,18-20,Direct,2.54,1,0,9.4,0.901,17,53.4,4,0.93,78.3,52,1
S10305,25+,Direct,1.82,1,0,13.2,0.597,18,56.0,0,0.726,71.1,55,1
S10306,18-20,Direct,2.32,0,1,12.0,0.925,31,75.7,0,1.0,82.2,57,1
S10307,21-24,Direct,2.18,1,1,8.7,0.716,9,51.0,2,0.85,72.3,56,1
S10308,18-20,Direct,3.59,0,1,36.1,0.634,1,41.9,2,0.597,50.7,27,0
S10309,18-20,Direct,3.42,0,0,14.4,0.849,19,77.9,0,0.737,53.5,19,0
S10310,18-20,Access,2.44,0,1,2.5,0.44,15,39.6,0,0.321,47.1,21,0
S10311,21-24,Direct,,1,1,35.6,0.515,4,62.8,1,0.609,76.9,60,1
S10312,18-20,Transfer,2.66,1,0,33.1,0.395,9,63.1,1,0.604,81.5,60,1
S10313,18-20,Direct,3.83,1,1,9.9,0.59,7,70.7,2,0.773,84.4,60,1
S10314,21-24,Transfer,2.48,0,0,5.9,0.755,14,50.9,2,0.715,37.4,25,0
S10315,18-20,Direct,2.77,1,0,9.0,0.766,19,72.1,1,0.688,45.6,11,0
S10316,18-20,Direct,2.04,0,0,29.6,0.267,0,42.1,1,0.203,44.7,12,0
S10317,18-20,Direct,3.19,0,1,8.2,1.0,24,79.6,1,1.0,65.8,57,1
S10318,18-20,Direct,2.07,1,0,10.9,0.58,27,51.8,4,0.545,52.6,28,0
S10319,18-20,Direct,2.75,0,0,23.2,0.755,21,52.8,0,0.767,70.8,50,1
S10320,18-20,Direct,2.25,1,1,31.9,0.661,25,58.4,0,0.721,81.8,44,1
S10321,18-20,Direct,2.87,1,1,,0.742,8,63.5,2,0.826,77.7,51,1
S10322,25+,Access,2.5,0,1,17.1,0.367,11,42.6,1,0.241,48.6,21,0
S10323,18-20,Direct,3.34,1,1,15.9,0.646,25,76.9,3,0.802,80.9,60,1
S10324,18-20,Direct,2.43,0,0,10.7,0.728,18,70.8,0,0.824,80.5,60,1
S10325,21-24,Direct,2.93,0,0,22.0,0.692,9,53.6,1,0.766,72.1,56,1
S10326,18-20,Transfer,2.55,1,1,1.2,0.265,0,48.2,3,0.272,50.2,19,0
S10327,21-24,Direct,2.78,1,0,18.0,0.665,17,60.3,1,0.548,50.5,19,0
S10328,18-20,Direct,3.11,0,0,2.4,0.692,4,59.9,1,0.597,43.5,33,0
S10329,25+,Transfer,1.55,0,0,8.2,0.912,29,35.8,1,0.919,43.0,19,0
S10330,18-20,Direct,3.32,0,1,37.9,0.603,15,48.6,1,0.534,49.7,23,0
S10331,21-24,Transfer,,1,0,34.2,0.499,11,43.4,2,0.475,51.4,19,0
S10332,21-24,Transfer,2.58,1,0,19.7,0.904,22,61.9,3,0.762,51.6,15,0
S10333,21-24,Direct,3.08,0,1,6.2,0.931,17,86.8,2,0.957,86.1,60,1
S10334,18-20,Direct,3.04,0,0,29.3,0.618,15,78.3,0,0.626,51.0,19,0
S10335,25+,Direct,2.97,0,1,62.3,0.858,12,58.4,3,0.931,73.6,57,1
S10336,21-24,Transfer,2.86,0,1,16.1,0.592,22,40.3,3,0.522,53.0,27,0
S10337,18-20,Direct,2.68,0,1,6.4,1.0,15,63.3,0,1.0,80.1,49,1
S10338,18-20,Access,3.53,0,1,15.5,0.621,11,62.1,1,0.522,45.2,23,0
S10339,21-24,Direct,3.73,0,0,8.5,0.713,18,62.1,1,0.737,78.6,60,1
S10340,18-20,Transfer,2.79,0,0,25.8,0.724,11,70.5,1,0.674,47.0,25,0
S10341,18-20,Transfer,3.77,1,0,1.9,0.739,14,78.5,2,0.91,83.9,60,1
S10342,21-24,Access,3.47,0,0,6.8,0.828,15,80.4,0,0.894,85.2,56,1
S10343,18-20,Direct,1.7,0,0,19.1,0.711,11,63.8,1,0.676,38.7,6,0
S10344,18-20,Transfer,2.15,0,1,18.4,0.679,14,66.5,3,0.579,41.6,16,0
S10345,25+,Transfer,2.98,0,1,6.2,0.373,0,38.1,1,0.281,49.8,16,0
S10346,21-24,Access,2.43,0,1,16.3,0.591,13,49.7,2,0.482,37.4,21,0
S10347,18-20,Transfer,3.08,0,0,22.1,0.809,14,68.6,1,0.859,86.6,46,1
S10348,18-20,Direct,3.25,1,1,12.6,1.0,24,88.0,2,1.0,54.5,22,0
S10349,21-24,Transfer,3.33,0,1,,0.384,0,26.9,4,0.345,76.1,60,1
S10350,18-20,Access,3.34,1,0,3.0,0.933,31,,0,1.0,77.5,44,1
S10351,18-20,Direct,2.86,0,0,24.8,0.852,26,80.2,0,0.781,39.1,30,0
S10352,18-20,Direct,3.07,1,1,32.5,0.817,18,51.8,1,0.939,89.1,52,1
S10353,18-20,Direct,2.49,0,0,13.1,0.797,8,67.3,0,0.769,43.0,10,0
S10354,18-20,Direct,2.49,1,0,1.5,0.748,17,60.0,0,0.684,41.5,16,0
S10355,25+,Direct,2.67,0,0,24.6,0.732,19,76.6,1,0.636,39.0,17,0
S10356,25+,Transfer,2.97,0,1,2.9,0.725,18,94.8,2,0.814,84.8,60,1
S10357,21-24,Transfer,2.32,0,0,,0.794,16,55.3,0,0.835,66.1,59,1
S10358,21-24,Transfer,2.8,1,0,18.7,0.943,25,58.4,3,0.937,53.4,19,0
S10359,21-24,Direct,3.07,0,1,8.1,0.787,26,79.9,1,0.853,94.8,53,1
S10360,25+,Direct,2.25,0,1,11.7,0.712,20,45.6,0,0.719,56.2,17,0
S10361,25+,Transfer,2.4,0,0,15.3,0.607,12,,0,0.49,44.9,22,0
S10362,18-20,Direct,2.66,1,0,10.5,0.577,15,52.4,1,0.668,86.5,60,1
S10363,21-24,Direct,2.82,0,0,24.9,0.612,19,64.1,0,0.541,51.6,19,0
S10364,21-24,Direct,,0,1,6.2,0.59,7,42.9,0,0.692,74.2,60,1
S10365,25+,Transfer,1.69,0,1,5.4,0.644,8,55.8,4,0.707,69.7,55,1
S10366,18-20,Direct,2.66,0,1,14.5,0.916,29,93.6,0,0.961,85.7,60,1
S10367,18-20,Transfer,2.5,0,1,8.7,0.528,21,51.1,4,0.517,41.6,19,0
S10368,21-24,Access,2.77,0,1,2.9,0.846,19,67.1,0,1.0,73.3,55,1
S10369,18-20,Direct,2.69,1,0,10.3,0.582,18,50.1,1,0.648,71.1,59,1
S10370,18-20,Direct,1.92,1,1,6.8,0.744,8,69.3,1,0.754,52.6,16,0
S10371,18-20,Access,2.24,1,1,14.7,0.533,16,53.8,2,0.433,48.6,13,0
S10372,21-24,Direct,2.67,0,1,,0.629,18,73.4,3,0.791,87.0,56,1
S10373,18-20,Direct,2.26,0,1,6.5,0.759,14,48.5,0,0.689,37.9,19,0
S10374,18-20,Direct,2.28,1,0,9.5,0.34,2,33.8,2,0.246,35.5,17,0
S10375,21-24,Direct,3.46,1,1,14.2,0.78,10,71.3,3,0.958,100.0,60,1
S10376,21-24,Direct,2.04,0,0,2.3,0.69,17,54.2,1,0.707,45.5,19,0
S10377,21-24,Access,2.08,0,0,12.1,0.676,12,51.9,1,0.593,48.5,22,0
S10378,25+,Transfer,3.35,1,0,22.1,0.747,9,70.3,1,0.672,68.9,22,0
S10379,18-20,Direct,,0,0,24.2,0.478,15,63.7,0,0.423,41.7,21,0
S10380,25+,Direct,2.04,1,1,6.7,0.821,17,56.7,0,0.712,35.9,16,0
S10381,18-20,Direct,2.13,1,1,10.5,0.684,9,41.2,3,0.654,40.4,15,0
S10382,21-24,Direct,2.07,0,0,7.0,0.751,17,84.4,0,0.743,47.8,15,0
S10383,21-24,Direct,1.71,0,0,,1.0,31,83.8,0,1.0,65.9,41,1
S10384,21-24,Direct,3.78,0,0,26.8,0.713,10,56.4,1,0.669,63.3,23,0
S10385,21-24,Direct,2.54,1,0,7.9,0.756,13,80.7,1,0.832,83.5,55,1
S10386,25+,Direct,3.26,0,1,7.8,0.726,11,61.3,0,0.805,82.9,60,1
S10387,21-24,Direct,2.5,0,0,10.1,0.825,26,78.1,0,0.961,85.6,59,1
S10388,21-24,Direct,3.53,0,0,21.7,0.66,18,,3,0.729,82.7,54,1
S10389,25+,Direct,2.44,0,1,32.1,0.814,16,44.0,0,0.689,45.0,12,0
S10390,18-20,Transfer,2.03,0,0,19.2,0.78,22,55.2,0,0.832,78.0,48,1
S10391,18-20,Direct,2.76,0,0,22.6,0.628,10,,0,0.691,72.9,40,1
S10392,21-24,Direct,1.74,1,1,9.5,0.608,10,49.6,4,0.427,37.7,13,0
S10393,18-20,Direct,1.74,0,1,38.7,0.816,28,100.0,0,0.727,40.9,15,0
S10394,25+,Access,2.62,0,0,5.4,0.73,19,64.1,1,0.602,37.6,23,0
S10395,18-20,Direct,2.32,0,1,29.4,0.83,22,88.3,1,0.755,60.8,22,0
S10396,18-20,Direct,2.24,0,0,11.9,0.771,12,52.9,0,0.727,50.3,16,0
S10397,18-20,Direct,1.19,0,1,18.0,0.619,10,49.2,1,0.759,65.2,47,1
S10398,18-20,Direct,2.63,0,1,14.8,0.592,1,,1,0.499,53.3,32,0
S10399,18-20,Direct,3.15,1,1,23.5,0.665,16,70.2,0,0.552,59.5,13,0
S10400,18-20,Direct,2.79,0,0,12.3,0.665,5,45.4,2,0.6,47.8,15,0
S10401,18-20,Direct,1.55,1,0,3.6,0.878,19,72.8,1,0.901,82.3,55,1
S10402,25+,Direct,3.5,0,1,5.9,0.861,17,85.8,1,1.0,88.9,43,1
S10403,21-24,Direct,1.89,0,0,14.0,0.689,14,84.7,1,0.758,69.3,50,1
S10404,18-20,Direct,2.45,0,0,11.9,0.668,15,81.2,0,0.575,44.2,20,0
S10405,18-20,Direct,2.32,0,0,10.4,0.706,14,46.6,2,0.76,67.3,50,1
S10406,21-24,Direct,2.26,0,0,21.1,0.743,4,69.6,2,0.867,80.8,51,1
S10407,21-24,Access,2.25,1,0,16.2,0.688,13,47.5,1,0.657,39.9,29,0
S10408,21-24,Direct,2.84,0,0,15.6,0.677,12,68.1,1,0.637,84.5,60,1
S10409,18-20,Direct,2.91,0,1,14.9,0.782,20,68.7,1,0.825,89.9,60,1
S10410,25+,Direct,4.0,1,1,14.4,0.7,15,83.6,0,0.874,92.6,60,1
S10411,18-20,Direct,3.38,0,1,10.7,0.722,25,70.6,1,0.827,78.1,51,1
S10412,18-20,Direct,3.55,0,0,35.7,0.569,3,51.7,0,0.601,93.3,57,1
S10413,21-24,Direct,2.95,1,0,4.6,0.848,15,57.7,0,0.786,59.0,15,0
S10414,18-20,Direct,2.4,0,1,21.4,0.732,19,51.4,0,0.569,43.7,14,0
S10415,18-20,Direct,2.84,0,0,27.8,0.893,28,87.3,1,0.862,59.0,24,0
S10416,18-20,Direct,2.62,1,1,19.8,0.807,17,85.4,0,0.821,71.7,58,1
S10417,18-20,Direct,3.41,1,0,11.1,0.442,0,,0,0.453,58.6,24,0
S10418,18-20,Transfer,2.93,0,0,17.5,0.989,33,79.1,0,1.0,81.6,55,1
S10419,25+,Access,1.95,0,0,16.5,0.695,19,82.5,1,0.603,46.8,10,0
S10420,25+,Direct,3.22,0,1,7.8,0.626,12,52.8,3,0.737,76.4,59,1
S10421,18-20,Access,2.35,0,1,5.1,0.947,26,72.2,1,0.798,31.4,22,0
S10422,21-24,Direct,2.18,1,1,12.5,0.665,8,54.4,1,0.712,65.8,55,1
S10423,25+,Direct,2.37,1,1,32.4,0.819,17,51.1,1,0.769,47.5,12,0
S10424,25+,Direct,2.28,0,1,15.9,0.906,25,58.5,0,1.0,70.0,51,1
S10425,18-20,Direct,,0,1,7.8,0.779,17,69.7,1,0.762,52.3,11,0
S10426,21-24,Access,2.29,1,1,7.1,0.665,3,67.4,1,0.567,49.0,19,0
S10427,18-20,Direct,2.67,1,1,31.5,0.488,12,64.1,0,0.556,70.0,55,1
S10428,18-20,Access,2.37,1,0,12.2,0.94,33,77.1,0,1.0,72.9,45,1
S10429,18-20,Direct,1.29,0,0,14.3,0.565,21,57.5,0,0.472,26.6,20,0
S10430,21-24,Direct,2.72,1,0,12.9,0.675,14,73.9,0,0.802,74.6,51,1
S10431,18-20,Access,3.29,0,1,27.4,0.583,19,60.7,1,0.69,87.2,52,1
S10432,18-20,Transfer,3.26,1,0,17.4,0.824,18,90.5,1,0.913,83.2,60,1
S10433,18-20,Direct,2.25,0,0,31.9,0.792,21,80.1,0,0.842,78.2,52,1
S10434,18-20,Direct,2.68,0,1,15.9,0.638,17,64.6,0,0.401,50.7,10,0
S10435,21-24,Direct,2.3,1,0,15.9,0.518,4,61.2,2,0.588,78.4,52,1
S10436,21-24,Direct,3.41,1,0,9.9,0.909,15,94.0,2,0.975,96.7,60,1
S10437,21-24,Direct,3.36,0,0,11.3,0.51,1,36.9,1,0.469,47.0,19,0
S10438,21-24,Direct,3.94,0,0,4.7,0.763,26,60.4,1,0.85,95.8,60,1
S10439,18-20,Direct,2.81,1,0,29.9,0.663,24,65.2,3,0.513,44.6,12,0
S10440,25+,Direct,2.6,1,0,24.9,0.679,15,65.1,1,0.683,77.0,46,1
S10441,18-20,Direct,4.0,0,1,8.9,0.756,23,92.1,1,0.726,91.1,60,1
S10442,18-20,Direct,2.71,0,1,13.7,1.0,32,97.3,1,1.0,100.0,52,1
S10443,18-20,Transfer,2.78,0,0,17.3,0.917,11,58.8,2,0.824,49.8,17,0
S10444,21-24,Direct,2.06,1,0,6.1,0.643,12,46.4,3,0.54,38.9,21,0
S10445,18-20,Direct,1.96,0,1,34.9,0.827,19,51.6,1,0.874,70.8,47,1
S10446,18-20,Transfer,3.06,1,1,30.7,0.877,22,56.8,4,0.936,66.3,56,1
S10447,21-24,Access,2.98,0,0,17.2,0.851,19,76.0,0,0.857,52.0,9,0
S10448,25+,Direct,2.05,1,0,8.9,0.352,0,50.9,3,0.253,35.5,23,0
S10449,18-20,Transfer,2.02,1,1,7.7,0.515,8,43.0,4,0.458,46.7,14,0
S10450,21-24,Transfer,2.4,1,1,19.1,0.692,12,81.7,0,0.554,36.3,10,0
S10451,18-20,Direct,2.14,0,0,33.7,0.732,14,60.7,3,0.67,42.9,19,0
S10452,18-20,Access,2.01,0,0,26.3,0.799,23,84.1,2,0.924,74.4,56,1
S10453,18-20,Access,3.17,1,1,32.6,0.332,8,50.2,3,0.292,50.0,16,0
S10454,21-24,Direct,2.22,0,1,30.1,0.58,1,60.3,2,0.416,53.2,16,0
S10455,18-20,Direct,2.13,1,0,4.6,0.802,22,63.7,2,0.802,43.5,17,0
S10456,18-20,Direct,3.41,0,0,17.4,0.784,8,64.1,0,0.669,44.0,29,0
S10457,18-20,Direct,3.21,0,1,5.8,0.855,19,100.0,2,0.938,78.0,60,1
S10458,18-20,Transfer,1.65,0,0,12.3,0.465,10,44.7,1,0.467,43.2,20,0
S10459,21-24,Transfer,2.22,0,0,20.8,0.965,27,84.0,0,1.0,82.3,59,1
S10460,25+,Direct,2.83,0,0,16.7,0.888,29,72.3,1,0.952,72.7,46,1
S10461,18-20,Direct,2.78,1,0,7.1,0.782,14,96.7,1,0.843,85.7,52,1
S10462,21-24,Direct,2.59,0,1,6.2,0.591,11,38.4,2,0.549,60.4,10,0
S10463,18-20,Transfer,3.35,1,0,4.9,1.0,19,91.1,1,0.903,54.1,27,0
S10464,18-20,Access,2.33,0,0,22.1,0.77,29,84.7,1,0.603,33.1,20,0
S10465,18-20,Transfer,3.03,1,0,10.3,0.783,18,81.2,1,0.787,91.8,52,1
S10466,18-20,Direct,1.99,1,0,16.2,0.682,18,54.1,2,0.614,39.8,17,0
S10467,21-24,Direct,2.41,1,1,11.3,0.793,27,66.7,1,0.926,79.1,60,1
S10468,21-24,Access,1.93,0,0,29.8,0.88,22,,2,1.0,59.7,57,1
S10469,18-20,Direct,2.56,0,0,17.2,0.844,24,60.4,0,0.945,81.7,53,1
S10470,21-24,Transfer,3.83,0,1,11.5,0.704,17,,1,0.757,90.0,60,1
S10471,21-24,Direct,2.47,0,0,8.8,0.66,14,,1,0.68,68.0,46,1
S10472,18-20,Transfer,2.59,0,0,21.0,0.828,27,61.3,0,0.856,81.8,52,1
S10473,18-20,Direct,1.79,1,0,5.0,0.766,10,53.3,1,0.685,42.1,12,0
S10474,21-24,Direct,2.57,1,1,3.8,0.326,0,34.1,4,0.301,46.1,15,0
S10475,21-24,Transfer,1.78,0,0,19.0,0.315,8,51.1,0,0.234,37.4,3,0
S10476,25+,Direct,2.94,1,1,10.8,0.938,24,73.9,1,1.0,83.9,60,1
S10477,18-20,Direct,2.67,1,0,25.8,0.738,19,66.9,1,0.8,84.0,54,1
S10478,21-24,Direct,1.74,1,0,24.8,0.789,21,61.1,2,0.768,65.0,45,1
S10479,18-20,Direct,2.4,0,0,12.3,0.682,6,,1,0.575,41.4,10,0
S10480,25+,Direct,3.59,1,0,33.9,0.634,10,87.1,1,0.763,76.3,49,1
S10481,25+,Direct,2.27,1,1,3.9,0.877,24,79.3,1,0.944,74.9,54,1
S10482,18-20,Direct,2.84,0,0,14.7,0.847,20,71.6,0,0.963,87.5,60,1
S10483,18-20,Direct,2.25,0,1,16.3,0.753,28,44.0,1,0.861,70.5,44,1
S10484,21-24,Direct,1.41,0,1,18.7,0.695,13,47.7,0,0.61,34.0,8,0
S10485,21-24,Access,2.76,1,1,13.7,0.704,17,,1,0.531,44.1,22,0
S10486,25+,Direct,2.19,0,1,47.8,0.429,1,31.0,0,0.504,73.7,53,1
S10487,25+,Direct,2.9,0,1,21.3,0.74,11,46.4,1,0.818,85.2,56,1
S10488,21-24,Transfer,2.64,1,0,6.1,0.551,15,62.8,0,0.517,42.0,18,0
S10489,18-20,Transfer,1.26,1,0,49.8,0.629,8,62.2,4,0.621,82.4,50,1
S10490,21-24,Direct,1.58,1,1,8.5,0.769,26,82.2,0,0.632,45.7,15,0
S10491,18-20,Transfer,2.02,1,1,16.2,0.815,20,77.6,3,0.885,79.8,54,1
S10492,18-20,Direct,2.52,0,0,65.8,0.637,25,50.2,2,0.724,82.1,55,1
S10493,18-20,Direct,2.77,0,1,17.9,0.429,16,34.8,0,0.379,55.0,18,0
S10494,25+,Transfer,2.88,0,0,41.4,0.937,10,64.8,1,0.952,80.0,59,1
S10495,18-20,Transfer,2.67,0,1,43.2,0.937,24,76.5,1,1.0,72.5,49,1
S10496,25+,Direct,3.73,0,0,41.5,0.821,20,90.4,1,0.804,56.0,26,0
S10497,21-24,Direct,1.91,0,1,9.1,0.745,14,54.5,3,0.715,30.8,12,0
S10498,25+,Direct,2.58,0,0,7.1,0.759,17,85.8,1,0.661,47.4,17,0
S10499,21-24,Direct,3.09,1,0,6.9,0.717,19,57.4,1,0.747,87.7,56,1
S10500,25+,Direct,3.91,0,0,9.1,0.808,30,87.8,0,0.882,90.6,60,1
S10501,18-20,Direct,2.67,1,1,34.3,0.804,19,82.6,1,0.678,49.7,18,0
S10502,18-20,Direct,3.39,0,0,5.4,0.643,16,60.0,2,0.8,85.9,53,1
S10503,18-20,Access,2.83,0,0,5.7,0.425,15,44.7,1,0.462,74.0,54,1
S10504,21-24,Direct,2.78,0,0,7.6,0.786,19,71.3,2,0.807,72.5,56,1
S10505,18-20,Direct,2.06,1,0,7.7,0.721,7,68.7,1,0.584,35.8,19,0
S10506,21-24,Direct,3.26,0,0,14.6,0.567,20,74.5,2,0.461,53.7,20,0
S10507,21-24,Transfer,2.97,0,1,8.4,0.737,17,77.8,0,0.805,82.0,50,1
S10508,25+,Direct,3.59,0,1,15.4,0.78,27,71.1,0,0.863,85.6,60,1
S10509,18-20,Transfer,2.6,0,1,20.2,0.555,10,62.3,1,0.455,33.9,25,0
S10510,18-20,Direct,3.02,0,0,17.4,0.748,6,69.6,0,0.704,53.9,20,0
S10511,18-20,Transfer,3.04,0,1,0.5,0.755,20,76.1,0,0.775,85.5,55,1
S10512,21-24,Direct,2.1,1,0,3.9,0.535,8,46.1,2,0.512,40.1,18,0
S10513,18-20,Direct,1.9,1,0,38.8,0.741,25,76.7,1,0.708,36.5,20,0
S10514,25+,Direct,3.52,0,1,20.0,0.698,15,72.6,0,0.791,78.4,54,1
S10515,21-24,Direct,2.65,1,0,13.1,1.0,21,,0,1.0,82.5,57,1
S10516,18-20,Transfer,2.78,1,1,14.1,0.701,18,80.7,1,0.753,92.1,50,1
S10517,21-24,Access,2.79,1,0,4.0,0.699,20,65.2,2,0.712,78.4,59,1
S10518,18-20,Direct,2.15,1,1,12.9,0.895,16,,2,0.802,51.5,11,0
S10519,18-20,Direct,3.27,0,1,11.7,0.439,0,,1,0.447,52.6,19,0
S10520,18-20,Direct,2.23,0,1,20.4,0.749,30,,0,0.847,76.5,58,1
S10521,18-20,Transfer,1.7,0,1,37.5,0.57,15,63.6,0,0.525,45.5,8,0
S10522,21-24,Direct,2.68,0,1,6.5,0.763,26,73.1,0,0.747,79.7,56,1
S10523,18-20,Direct,3.39,0,1,20.9,0.555,15,48.9,3,0.471,57.1,19,0
S10524,18-20,Transfer,2.54,0,0,14.7,0.808,21,71.1,1,0.858,71.7,48,1
S10525,18-20,Direct,1.82,1,0,23.5,0.722,17,53.6,1,0.718,39.7,14,0
S10526,18-20,Direct,2.66,0,1,8.5,0.829,22,71.6,2,0.735,46.6,14,0
S10527,21-24,Direct,2.29,0,0,33.1,0.424,1,22.5,0,0.381,36.5,16,0
S10528,21-24,Direct,1.92,0,1,,0.793,21,67.1,0,0.673,42.7,21,0
S10529,18-20,Direct,3.42,1,1,17.3,0.881,29,89.0,2,0.806,61.3,11,0
S10530,18-20,Transfer,3.4,0,0,3.3,0.626,4,73.7,1,0.765,79.3,53,1
S10531,18-20,Access,2.77,0,1,21.2,0.745,10,46.3,0,0.848,78.2,56,1
S10532,25+,Direct,3.29,0,0,22.5,0.858,21,88.4,0,0.947,86.2,46,1
S10533,18-20,Direct,3.04,0,0,3.4,0.663,16,46.2,0,0.789,70.8,58,1
S10534,18-20,Transfer,2.41,0,1,37.3,0.615,12,62.1,0,0.492,31.2,24,0
S10535,18-20,Direct,2.94,1,0,21.0,0.866,17,67.3,1,0.936,81.6,60,1
S10536,18-20,Transfer,1.83,0,1,11.6,0.764,27,65.5,0,0.763,39.4,16,0
S10537,18-20,Direct,1.93,0,1,20.7,0.859,23,60.6,0,0.8,29.3,14,0
S10538,18-20,Transfer,2.99,0,0,5.7,0.836,19,93.3,3,0.881,89.0,51,1
S10539,25+,Direct,2.46,0,0,13.0,0.812,26,70.4,0,0.778,54.2,12,0
S10540,18-20,Direct,3.05,1,0,19.0,0.576,9,58.6,3,0.463,54.2,16,0
S10541,21-24,Direct,2.09,1,1,10.6,0.792,29,82.0,3,0.782,85.4,52,1
S10542,18-20,Direct,2.45,0,1,10.8,0.688,14,91.1,0,0.803,87.5,60,1
S10543,21-24,Transfer,3.1,0,0,28.3,0.456,14,71.4,5,0.6,84.4,57,1
S10544,21-24,Direct,2.46,1,1,25.0,0.407,3,36.7,5,0.392,44.6,16,0
S10545,18-20,Transfer,2.29,0,1,8.9,0.884,22,66.1,0,0.798,36.0,25,0
S10546,18-20,Direct,3.27,1,1,17.7,0.758,15,78.6,0,0.858,84.0,55,1
S10547,18-20,Direct,2.85,1,0,36.2,0.634,10,58.1,2,0.727,82.9,50,1
S10548,25+,Direct,1.66,1,0,7.0,0.671,18,38.4,1,0.564,29.8,8,0
S10549,21-24,Direct,1.62,0,1,4.7,0.874,15,57.1,1,0.941,73.0,51,1
S10550,18-20,Direct,2.98,1,1,12.6,0.589,15,70.2,1,0.688,85.7,60,1
S10551,18-20,Access,1.76,0,1,26.6,0.798,8,53.0,0,0.755,37.4,12,0
S10552,21-24,Transfer,2.08,0,1,25.4,0.425,10,53.4,2,0.318,31.5,24,0
S10553,18-20,Direct,2.06,0,0,18.4,1.0,31,67.6,0,1.0,71.0,44,1
S10554,21-24,Direct,2.21,0,1,1.8,0.849,30,63.1,0,0.889,84.6,43,1
S10555,25+,Direct,2.74,1,0,7.7,0.617,11,68.5,3,0.5,37.2,24,0
S10556,21-24,Direct,2.39,1,0,9.7,0.687,4,45.5,2,0.589,46.2,22,0
S10557,18-20,Direct,2.76,0,1,19.4,0.985,36,77.3,0,1.0,83.0,56,1
S10558,21-24,Transfer,2.65,1,1,14.0,0.588,9,64.7,3,0.613,45.6,20,0
S10559,18-20,Direct,2.8,0,1,4.8,0.755,17,,1,0.947,76.5,50,1
S10560,18-20,Direct,2.1,0,0,34.9,0.832,22,68.9,1,0.805,33.6,19,0
S10561,25+,Access,2.21,0,1,12.1,0.79,27,57.8,1,0.729,32.7,19,0
S10562,25+,Direct,3.68,1,1,10.9,0.922,21,,4,1.0,93.6,60,1
S10563,18-20,Direct,2.72,1,1,13.9,0.663,5,41.5,0,0.704,81.1,60,1
S10564,18-20,Direct,,1,1,4.8,0.865,16,65.7,1,0.896,70.0,59,1
S10565,18-20,Direct,2.38,0,1,,0.688,14,60.5,0,0.622,52.1,18,0
S10566,25+,Access,2.27,0,1,31.0,0.659,22,46.9,0,0.635,32.9,13,0
S10567,21-24,Access,2.95,0,1,45.4,0.559,11,59.2,1,0.652,78.0,60,1
S10568,18-20,Direct,1.95,1,1,14.2,0.366,0,19.5,1,0.407,33.9,25,0
S10569,21-24,Transfer,,0,0,11.9,0.661,3,70.7,1,0.789,86.0,50,1
S10570,21-24,Direct,2.66,1,1,15.7,0.493,14,76.5,0,0.544,69.0,55,1
S10571,18-20,Direct,2.6,0,0,32.0,0.48,11,26.5,0,0.413,59.3,19,0
S10572,21-24,Direct,3.38,0,1,14.4,0.453,21,54.0,3,0.503,100.0,60,1
S10573,18-20,Direct,1.86,0,0,25.6,0.978,26,57.5,0,0.935,29.7,27,0
S10574,18-20,Transfer,2.51,0,1,12.7,0.34,9,46.1,1,0.276,44.9,21,0
S10575,18-20,Transfer,2.79,0,1,19.1,0.522,4,57.1,0,0.472,45.7,15,0
S10576,18-20,Direct,2.14,1,1,7.8,0.812,15,48.2,0,0.778,48.9,21,0
S10577,25+,Direct,2.22,1,0,37.3,0.866,21,68.0,1,0.835,42.8,12,0
S10578,18-20,Direct,1.61,1,0,16.5,0.537,21,61.4,0,0.389,34.2,24,0
S10579,18-20,Direct,2.14,1,1,13.5,0.785,17,69.1,1,0.869,64.3,50,1
S10580,21-24,Direct,2.77,1,0,12.6,0.516,10,51.5,1,0.619,86.2,56,1
